dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,rider_type,riders
1-Jan-22,1,1,1,0,0,0,0,1,0.36,0.3788,0.66,0,casual,5
1-Jan-22,1,1,1,1,0,0,0,1,0.36,0.3485,0.66,0.1343,casual,15
1-Jan-22,1,1,1,2,0,0,0,1,0.32,0.3485,0.76,0,casual,16
1-Jan-22,1,1,1,3,0,0,0,1,0.3,0.3333,0.81,0,casual,11
1-Jan-22,1,1,1,4,0,0,0,1,0.28,0.303,0.81,0.0896,casual,0
1-Jan-22,1,1,1,5,0,0,0,1,0.28,0.2879,0.81,0.1045,casual,0
1-Jan-22,1,1,1,6,0,0,0,1,0.26,0.2727,0.93,0.1343,casual,1
1-Jan-22,1,1,1,7,0,0,0,1,0.26,0.2576,0.93,0.1642,casual,1
1-Jan-22,1,1,1,8,0,0,0,1,0.26,0.2727,0.87,0.1045,casual,4
1-Jan-22,1,1,1,9,0,0,0,1,0.26,0.2727,0.93,0.1045,casual,13
1-Jan-22,1,1,1,10,0,0,0,1,0.3,0.3182,0.81,0.1045,casual,18
1-Jan-22,1,1,1,11,0,0,0,1,0.34,0.3333,0.76,0.1343,casual,40
1-Jan-22,1,1,1,12,0,0,0,1,0.4,0.4091,0.62,0.2836,casual,58
1-Jan-22,1,1,1,13,0,0,0,1,0.42,0.4242,0.58,0.2836,casual,82
1-Jan-22,1,1,1,14,0,0,0,1,0.44,0.4394,0.54,0.2985,casual,120
1-Jan-22,1,1,1,15,0,0,0,1,0.46,0.4545,0.51,0.2985,casual,101
1-Jan-22,1,1,1,16,0,0,0,2,0.44,0.4394,0.54,0.2985,casual,68
1-Jan-22,1,1,1,17,0,0,0,2,0.48,0.4697,0.48,0.1642,casual,36
1-Jan-22,1,1,1,18,0,0,0,3,0.46,0.4545,0.59,0.2537,casual,25
1-Jan-22,1,1,1,19,0,0,0,3,0.42,0.4242,0.67,0.3881,casual,20
1-Jan-22,1,1,1,20,0,0,0,2,0.44,0.4394,0.62,0.2985,casual,25
1-Jan-22,1,1,1,21,0,0,0,2,0.44,0.4394,0.67,0.2537,casual,10
1-Jan-22,1,1,1,22,0,0,0,1,0.46,0.4545,0.55,0.4179,casual,13
1-Jan-22,1,1,1,23,0,0,0,1,0.44,0.4394,0.51,0.2985,casual,4
